name,type1,type2,hp,atk,def,spa,spd,spe,ability1,ability2,ability3,moveset
Metapod,Bug,NULL,50,20,55,25,25,30,Shed Skin,NULL,NULL,"bugbite, electroweb, harden, irondefense, stringshot"
Butterfree,Bug,Flying,60,45,50,90,80,70,Compound Eyes,Tinted Lens,NULL,"acrobatics, aerialace, aircutter, airslash, attract, batonpass, bide, bugbite, bugbuzz, captivate, confide, confusion, curse, defog, doubleedge, doubleteam, drainingkiss, dreameater, dualwingbeat, electroweb, endure, energyball, facade, flash, frustration, gigadrain, gigaimpact, gust, harden, headbutt, hiddenpower, hurricane, hyperbeam, infestation, irondefense, megadrain, mimic, morningsun, naturalgift, nightmare, ominouswind, poisonpowder, pollenpuff, protect, psybeam, psychic, psychup, psywave, quiverdance, rage, ragepowder, raindance, razorwind, reflect, rest, return, roost, round, safeguard, secretpower, shadowball, signalbeam, silverwind, skillswap, sleeppowder, sleeptalk, snore, solarbeam, stringshot, strugglebug, stunspore, substitute, sunnyday, supersonic, swagger, sweetscent, swift, tackle, tailwind, takedown, teleport, thief, toxic, twister, uturn, venoshock, whirlwind"
Weedle,Bug,Poison,40,35,30,20,20,50,Shield Dust,Run Away,NULL,"bugbite, electroweb, poisonsting, stringshot"
Kakuna,Bug,Poison,45,25,50,25,25,35,Shed Skin,NULL,NULL,"bugbite, electroweb, harden, irondefense, stringshot"
Beedrill,Bug,Poison,65,90,40,45,80,75,Swarm,Sniper,NULL,"acrobatics, aerialace, agility, aircutter, assurance, attract, batonpass, bide, brickbreak, brutalswing, bugbite, captivate, confide, curse, cut, defog, doubleedge, doubleteam, drillrun, electroweb, endeavor, endure, facade, falseswipe, fellstinger, flash, focusenergy, frustration, furyattack, furycutter, gigadrain, gigaimpact, headbutt, hiddenpower, hyperbeam, infestation, knockoff, laserfocus, megadrain, mimic, naturalgift, ominouswind, outrage, payback, peck, pinmissile, poisonjab, protect, pursuit, rage, reflect, rest, return, rocksmash, roost, round, secretpower, silverwind, skullbash, sleeptalk, sludgebomb, snore, solarbeam, stringshot, strugglebug, substitute, sunnyday, swagger, sweetscent, swift, swordsdance, tailwind, takedown, thief, throatchop, toxic, toxicspikes, twineedle, uturn, venoshock, xscissor"
Pidgey,Normal,Flying,40,45,40,35,35,56,Keen Eye,Tangled Feet,Big Pecks,"aerialace, agility, aircutter, airslash, attract, bide, bravebird, captivate, confide, curse, defog, detect, doubleedge, doubleteam, endure, facade, featherdance, feintattack, fly, foresight, frustration, gust, headbutt, heatwave, hiddenpower, hurricane, mimic, mirrormove, mudslap, naturalgift, ominouswind, pluck, protect, pursuit, quickattack, rage, raindance, razorwind, reflect, rest, return, roost, round, sandattack, secretpower, skyattack, sleeptalk, snore, steelwing, substitute, sunnyday, swagger, swift, tackle, tailwind, takedown, thief, toxic, twister, uproar, uturn, whirlwind, wingattack, workup"
Pidgeotto,Normal,Flying,63,60,55,50,50,71,Keen Eye,Tangled Feet,Big Pecks,"aerialace, agility, aircutter, airslash, attract, bide, captivate, confide, curse, defog, detect, doubleedge, doubleteam, endure, facade, featherdance, fly, frustration, gust, headbutt, heatwave, hiddenpower, hurricane, mimic, mirrormove, mudslap, naturalgift, ominouswind, pluck, protect, quickattack, rage, raindance, razorwind, reflect, refresh, rest, return, roost, round, sandattack, secretpower, skyattack, sleeptalk, snore, steelwing, substitute, sunnyday, swagger, swift, tackle, tailwind, takedown, thief, toxic, twister, uproar, uturn, whirlwind, wingattack, workup"
Pidgeot,Normal,Flying,83,80,75,70,70,101,Keen Eye,Tangled Feet,Big Pecks,"aerialace, agility, aircutter, airslash, attract, bide, captivate, confide, curse, defog, detect, doubleedge, doubleteam, endure, facade, featherdance, fly, frustration, gigaimpact, gust, headbutt, heatwave, hiddenpower, hurricane, hyperbeam, laserfocus, mimic, mirrormove, mudslap, naturalgift, ominouswind, pluck, protect, quickattack, rage, raindance, razorwind, reflect, rest, return, roost, round, sandattack, secretpower, skyattack, sleeptalk, snore, steelwing, substitute, sunnyday, swagger, swift, tackle, tailwind, takedown, thief, toxic, twister, uproar, uturn, whirlwind, wingattack, workup"
Rattata,Normal,NULL,30,56,35,25,35,72,Run Away,Guts,Hustle,"assurance, attract, bide, bite, blizzard, bodyslam, bubblebeam, captivate, chargebeam, confide, counter, covet, crunch, curse, cut, defensecurl, dig, doubleedge, doubleteam, endeavor, endure, facade, finalgambit, flamewheel, focusenergy, frustration, furyswipes, grassknot, headbutt, hiddenpower, hyperfang, icebeam, icywind, irontail, lastresort, mefirst, mimic, mudslap, naturalgift, pluck, protect, pursuit, quickattack, rage, raindance, rest, retaliate, return, revenge, reversal, rocksmash, round, screech, secretpower, shadowball, shockwave, skullbash, sleeptalk, snore, substitute, suckerpunch, sunnyday, superfang, swagger, swift, tackle, tailwhip, takedown, taunt, thief, thunder, thunderbolt, thunderwave, toxic, uproar, uturn, watergun, wildcharge, workup, zenheadbutt"
Raticate,Normal,NULL,55,81,60,50,70,97,Run Away,Guts,Hustle,"assurance, attract, bide, bite, blizzard, bodyslam, bubblebeam, captivate, chargebeam, confide, counter, covet, crunch, curse, cut, defensecurl, dig, doubleedge, doubleteam, endeavor, endure, facade, focusenergy, frustration, furyswipes, gigaimpact, grassknot, headbutt, hiddenpower, hyperbeam, hyperfang, icebeam, icywind, irontail, lastresort, mimic, mudslap, naturalgift, pluck, protect, pursuit, quickattack, rage, raindance, refresh, rest, retaliate, return, roar, rocksmash, round, scaryface, secretpower, shadowball, shockwave, skullbash, sleeptalk, snore, stompingtantrum, strength, substitute, suckerpunch, sunnyday, superfang, swagger, swift, swordsdance, tackle, tailwhip, takedown, taunt, thief, throatchop, thunder, thunderbolt, thunderwave, toxic, uproar, uturn, watergun, wildcharge, workup, zenheadbutt"
Spearow,Normal,Flying,40,60,30,31,31,70,Keen Eye,Sniper,NULL,"aerialace, agility, aircutter, assurance, astonish, attract, batonpass, bide, captivate, confide, curse, defog, detect, doubleedge, doubleteam, drillpeck, drillrun, echoedvoice, endure, facade, falseswipe, featherdance, feintattack, fly, focusenergy, frustration, furyattack, growl, headbutt, heatwave, hiddenpower, leer, mimic, mirrormove, mudslap, naturalgift, ominouswind, peck, pluck, protect, pursuit, quickattack, rage, raindance, razorwind, rest, return, roost, round, scaryface, secretpower, skyattack, sleeptalk, snore, steelwing, substitute, sunnyday, swagger, swift, tailwind, takedown, thief, toxic, triattack, twister, uproar, uturn, whirlwind, workup"
Fearow,Normal,Flying,65,90,65,61,61,100,Keen Eye,Sniper,NULL,"aerialace, agility, aircutter, assurance, attract, bide, captivate, confide, curse, defog, detect, doubleedge, doubleteam, drillpeck, drillrun, echoedvoice, endure, facade, falseswipe, fly, focusenergy, frustration, furyattack, gigaimpact, growl, headbutt, heatwave, hiddenpower, hyperbeam, laserfocus, leer, mimic, mirrormove, mudslap, naturalgift, ominouswind, peck, pluck, protect, pursuit, quickattack, rage, raindance, razorwind, rest, return, roost, round, secretpower, skyattack, sleeptalk, snore, steelwing, substitute, sunnyday, swagger, swift, tailwind, takedown, thief, throatchop, toxic, triattack, twister, uproar, uturn, whirlwind, workup"
Ekans,Poison,NULL,35,60,44,40,54,55,Intimidate,Shed Skin,Unnerve,"acid, acidspray, aquatail, attract, beatup, belch, bide, bind, bite, bodyslam, brutalswing, bulldoze, captivate, coil, confide, crunch, curse, darkpulse, dig, disable, doubleedge, doubleteam, earthquake, endure, facade, fissure, frustration, gastroacid, gigadrain, glare, gunkshot, haze, headbutt, hiddenpower, infestation, irontail, leer, megadrain, mimic, mudbomb, naturalgift, payback, poisonfang, poisonjab, poisonsting, poisontail, protect, pursuit, rage, raindance, rest, return, rockslide, rocktomb, round, scaryface, screech, secretpower, seedbomb, skullbash, slam, sleeptalk, sludgebomb, sludgewave, snatch, snore, spite, spitup, stockpile, strength, substitute, suckerpunch, sunnyday, swagger, swallow, switcheroo, takedown, thief, torment, toxic, venoshock, wrap"
Arbok,Poison,NULL,60,95,69,65,79,80,Intimidate,Shed Skin,Unnerve,"acid, acidspray, aquatail, attract, belch, bide, bind, bite, bodyslam, brutalswing, bulldoze, captivate, coil, confide, crunch, curse, darkpulse, dig, doubleedge, doubleteam, dragontail, earthquake, endure, facade, firefang, fissure, frustration, gastroacid, gigadrain, gigaimpact, glare, gunkshot, haze, headbutt, hiddenpower, hyperbeam, icefang, infestation, irontail, leer, megadrain, mimic, mudbomb, naturalgift, payback, poisonjab, poisonsting, protect, rage, raindance, refresh, rest, return, rockslide, rocktomb, round, screech, secretpower, seedbomb, skullbash, slam, sleeptalk, sludgebomb, sludgewave, snatch, snore, spite, spitup, stockpile, stompingtantrum, strength, substitute, suckerpunch, sunnyday, swagger, swallow, takedown, thief, throatchop, thunderfang, torment, toxic, venoshock, wrap"
Pikachu,Electric,NULL,35,55,40,50,50,90,Static,Lightning Rod,NULL,"agility, attract, bestow, bide, bodyslam, brickbreak, calmmind, captivate, celebrate, chargebeam, charm, confide, counter, covet, curse, defensecurl, detect, dig, discharge, doubleedge, doublekick, doubleteam, drainingkiss, dynamicpunch, echoedvoice, electricterrain, electroball, electroweb, encore, endeavor, endure, extremespeed, facade, fakeout, feint, flash, fling, fly, focuspunch, frustration, grassknot, growl, happyhour, headbutt, heartstamp, helpinghand, hiddenpower, holdhands, irontail, knockoff, laserfocus, lastresort, lightscreen, magnetrise, megakick, megapunch, mimic, mudslap, nastyplot, naturalgift, nuzzle, payday, playnice, playrough, present, protect, quickattack, rage, raindance, reflect, refresh, rest, return, reversal, risingvoltage, rocksmash, rollout, round, secretpower, seismictoss, shockwave, signalbeam, sing, skullbash, slam, sleeptalk, snore, spark, strength, submission, substitute, surf, swagger, sweetkiss, sweetscent, swift, tailwhip, takedown, teeterdance, thief, thunder, thunderbolt, thunderpunch, thundershock, thunderwave, toxic, uproar, voltswitch, volttackle, wildcharge, yawn, zapcannon"
Raichu,Electric,NULL,60,90,55,90,80,110,Static,Lightning Rod,NULL,"agility, attract, bide, bodyslam, brickbreak, brutalswing, calmmind, captivate, chargebeam, charm, confide, counter, covet, curse, defensecurl, detect, dig, discharge, doubleedge, doubleteam, drainingkiss, dynamicpunch, echoedvoice, eerieimpulse, electricterrain, electroball, electroweb, encore, endure, facade, fakeout, feint, flash, fling, focusblast, focuspunch, frustration, gigaimpact, grassknot, growl, headbutt, helpinghand, hiddenpower, hyperbeam, irontail, knockoff, laserfocus, lightscreen, magnetrise, megakick, megapunch, mimic, mudslap, nastyplot, naturalgift, nuzzle, payday, playnice, playrough, protect, quickattack, rage, raindance, reflect, rest, return, reversal, risingvoltage, rocksmash, rollout, round, safeguard, secretpower, seismictoss, shockwave, signalbeam, skullbash, slam, sleeptalk, snore, spark, speedswap, strength, submission, substitute, surf, swagger, sweetkiss, swift, tailwhip, takedown, thief, thunder, thunderbolt, thunderpunch, thundershock, thunderwave, toxic, uproar, voltswitch, wildcharge, zapcannon"
Sandshrew,Ground,NULL,50,75,85,20,30,40,Sand Veil,Sand Rush,NULL,"aerialace, agility, amnesia, attract, bide, bodyslam, brickbreak, bulldoze, captivate, chipaway, confide, counter, covet, crushclaw, curse, cut, defensecurl, detect, dig, doubleedge, doubleteam, dynamicpunch, earthpower, earthquake, endure, facade, fissure, flail, fling, focuspunch, frustration, furycutter, furyswipes, gyroball, headbutt, hiddenpower, honeclaws, irontail, knockoff, leechlife, magnitude, metalclaw, mimic, mudshot, mudslap, naturalgift, nightslash, poisonjab, poisonsting, protect, rage, rapidspin, rest, return, rockclimb, rockslide, rocksmash, rocktomb, rollout, rototiller, round, safeguard, sandattack, sandstorm, sandtomb, scorchingsands, scratch, secretpower, seismictoss, shadowclaw, skullbash, slash, sleeptalk, snore, stealthrock, steelroller, stompingtantrum, strength, submission, substitute, sunnyday, superfang, swagger, swift, swordsdance, takedown, thief, throatchop, toxic, workup, xscissor"
Sandslash,Ground,NULL,75,100,110,45,55,65,Sand Veil,Sand Rush,NULL,"aerialace, agility, amnesia, attract, bide, bodyslam, brickbreak, bulldoze, captivate, confide, counter, covet, crushclaw, curse, cut, defensecurl, detect, dig, doubleedge, doubleteam, drillrun, dynamicpunch, earthpower, earthquake, endure, facade, fissure, fling, focusblast, focuspunch, frustration, furycutter, furyswipes, gigaimpact, gyroball, headbutt, hiddenpower, honeclaws, hyperbeam, irontail, knockoff, leechlife, magnitude, mimic, mudshot, mudslap, naturalgift, pinmissile, poisonjab, poisonsting, protect, rage, rapidspin, rest, return, rockclimb, rockslide, rocksmash, rocktomb, rollout, round, safeguard, sandattack, sandstorm, sandtomb, scorchingsands, scratch, secretpower, seismictoss, shadowclaw, skullbash, slash, sleeptalk, snore, spikes, stealthrock, steelroller, stompingtantrum, stoneedge, strength, submission, substitute, sunnyday, superfang, swagger, swift, swordsdance, takedown, thief, throatchop, toxic, workup, xscissor"
Nidorina,Poison,NULL,70,62,67,55,55,56,Poison Point,Rivalry,Hustle,"aerialace, attract, beatup, bide, bite, blizzard, bodyslam, bubblebeam, captivate, charm, confide, counter, crunch, curse, cut, defensecurl, detect, dig, doubleedge, doublekick, doubleteam, earthpower, echoedvoice, endure, facade, flatter, focusenergy, frustration, furyswipes, growl, headbutt, helpinghand, hiddenpower, honeclaws, horndrill, icebeam, irontail, mimic, mudslap, naturalgift, poisonfang, poisonjab, poisonsting, protect, rage, raindance, reflect, rest, return, rocksmash, round, scratch, secretpower, shadowclaw, shockwave, skullbash, sleeptalk, sludgebomb, snore, stompingtantrum, strength, substitute, sunnyday, superfang, swagger, tackle, tailwhip, takedown, thief, thunder, thunderbolt, toxic, toxicspikes, venomdrench, venoshock, watergun, waterpulse"
Nidoqueen,Poison,Ground,90,92,87,75,85,76,Poison Point,Rivalry,Sheer Force,"aerialace, aquatail, attract, avalanche, beatup, bide, bite, blizzard, bodypress, bodyslam, brickbreak, bubblebeam, bulldoze, captivate, charm, chipaway, confide, counter, crunch, curse, cut, defensecurl, detect, dig, doubleedge, doublekick, doubleteam, dragonpulse, dragontail, drillrun, dynamicpunch, earthpower, earthquake, echoedvoice, endure, facade, fireblast, firepunch, fissure, flamethrower, flatter, fling, focusblast, focusenergy, focuspunch, frustration, furycutter, furyswipes, gigaimpact, growl, headbutt, helpinghand, hex, hiddenpower, highhorsepower, honeclaws, horndrill, hyperbeam, icebeam, icepunch, icywind, incinerate, irontail, megakick, megapunch, mimic, mudshot, mudslap, naturalgift, outrage, payday, poisonjab, poisonsting, poweruppunch, protect, quash, rage, raindance, reflect, rest, return, roar, rockblast, rockclimb, rockslide, rocksmash, rocktomb, round, sandstorm, sandtomb, scorchingsands, scratch, secretpower, seismictoss, shadowball, shadowclaw, shockwave, skullbash, sleeptalk, sludgebomb, sludgewave, smackdown, snore, stealthrock, stompingtantrum, stoneedge, strength, submission, substitute, sunnyday, superfang, superpower, supersonic, surf, swagger, tackle, tailwhip, takedown, taunt, thief, throatchop, thunder, thunderbolt, thunderpunch, torment, toxic, toxicspikes, uproar, venomdrench, venoshock, watergun, waterpulse, whirlpool"
Nidorino,Poison,NULL,61,72,57,55,55,65,Poison Point,Rivalry,Hustle,"amnesia, attract, beatup, bide, blizzard, bodyslam, bubblebeam, captivate, confide, counter, curse, cut, defensecurl, detect, dig, doubleedge, doublekick, doubleteam, drillrun, earthpower, echoedvoice, endure, facade, flatter, focusenergy, frustration, furyattack, headbutt, helpinghand, hiddenpower, honeclaws, hornattack, horndrill, icebeam, irontail, leer, mimic, mudslap, naturalgift, peck, poisonjab, poisonsting, protect, rage, raindance, reflect, rest, return, rocksmash, round, secretpower, shadowclaw, shockwave, skullbash, sleeptalk, sludgebomb, smartstrike, snore, stompingtantrum, strength, substitute, suckerpunch, sunnyday, superfang, swagger, tackle, takedown, thief, thunder, thunderbolt, toxic, toxicspikes, venomdrench, venoshock, watergun, waterpulse"
Nidoking,Poison,Ground,81,102,77,85,75,85,Poison Point,Rivalry,Sheer Force,"amnesia, aquatail, attract, avalanche, beatup, bide, blizzard, bodypress, bodyslam, brickbreak, bubblebeam, bulldoze, captivate, chipaway, confide, counter, curse, cut, defensecurl, detect, dig, doubleedge, doublekick, doubleteam, dragonpulse, dragontail, drillrun, dynamicpunch, earthpower, earthquake, echoedvoice, endure, facade, fireblast, firepunch, fissure, flamethrower, flatter, fling, focusblast, focusenergy, focuspunch, frustration, furyattack, furycutter, gigaimpact, headbutt, helpinghand, hex, hiddenpower, highhorsepower, honeclaws, hornattack, horndrill, hyperbeam, icebeam, icepunch, icywind, incinerate, irontail, leer, megahorn, megakick, megapunch, mimic, mudshot, mudslap, naturalgift, outrage, payday, peck, poisonjab, poisonsting, poweruppunch, protect, quash, rage, raindance, reflect, rest, return, roar, rockblast, rockclimb, rockslide, rocksmash, rocktomb, round, sandstorm, sandtomb, scorchingsands, secretpower, seismictoss, shadowball, shadowclaw, shockwave, skullbash, sleeptalk, sludgebomb, sludgewave, smackdown, smartstrike, snore, stealthrock, stompingtantrum, stoneedge, strength, submission, substitute, suckerpunch, sunnyday, superfang, superpower, supersonic, surf, swagger, tackle, takedown, taunt, thief, thrash, throatchop, thunder, thunderbolt, thunderpunch, torment, toxic, toxicspikes, uproar, venomdrench, venoshock, watergun, waterpulse, whirlpool"
