name
Abomasite
Absolite
Absorb Bulb
Never-Melt Ice
Nomel Berry
Normal Gem
Normalium Z
Occa Berry
Odd Incense
Old Amber
Oran Berry
Oval Stone
Pamtre Berry
Park Ball
Passho Berry
Payapa Berry
Pecha Berry
Persim Berry
Petaya Berry
Pidgeotite
Pikanium Z
Pikashunium Z
Pinap Berry
Pinsirite
Pixie Plate
Plume Fossil
Poison Barb
Poison Gem
Poison Memory
Poisonium Z
Poke Ball
Pomeg Berry
Power Anklet
Power Band
Power Belt
Power Bracer
Power Herb
Power Lens
Power Weight
Premier Ball
Primarium Z
Prism Scale
Protective Pads
Protector
Psychic Gem
Psychic Memory
Psychic Seed
Psychium Z
Qualot Berry
Quick Ball
Quick Claw
Quick Powder
Rabuta Berry
Rare Bone
Rawst Berry
Razor Claw
Razor Fang
Razz Berry
Reaper Cloth
Red Card
Red Orb
Repeat Ball
Ribbon Sweet
Rindo Berry
Ring Target
Rock Gem
Rock Incense
Rock Memory
Rockium Z
Rocky Helmet
Room Service
Root Fossil
Rose Incense
Roseli Berry
Rowap Berry
Rusted Shield
Rusted Sword
Sablenite
Sachet
Safari Ball
Safety Goggles
Sail Fossil
Salac Berry
Salamencite
Sceptilite
Scizorite
Scope Lens
Sea Incense
Sharp Beak
Sharpedonite
Shed Shell
Shell Bell
Shiny Stone
Shock Drive
Shuca Berry
Silk Scarf
Silver Powder
Sitrus Berry
Skull Fossil
Sky Plate
Slowbronite
Smooth Rock
Snorlium Z
Snowball
Soft Sand
Solganium Z
Soul Dew
Spell Tag
Spelon Berry
Splash Plate
Spooky Plate
Sport Ball
Starf Berry
Star Sweet
Steelixite
Steel Gem
Steel Memory
Steelium Z
Stick
Sticky Barb
Stone Plate
Strawberry Sweet
Sun Stone
Swampertite
Sweet Apple
Tamato Berry
Tanga Berry
Tapunium Z
Tart Apple
Terrain Extender
Thick Club
Throat Spray
Thunder Stone
Timer Ball
Toxic Orb
Toxic Plate
TR00
TR01
TR02
TR03
TR04
TR05
TR06
TR07
TR08
TR09
TR10
TR11
TR12
TR13
TR14
TR15
TR16
TR17
TR18
TR19
TR20
TR21
TR22
TR23
TR24
TR25
TR26
TR27
TR28
TR29
TR30
TR31
TR32
TR33
TR34
TR35
TR36
TR37
TR38
TR39
TR40
TR41
TR42
TR43
TR44
TR45
TR46
TR47
TR48
TR49
TR50
TR51
TR52
TR53
TR54
TR55
TR56
TR57
TR58
TR59
TR60
TR61
TR62
TR63
TR64
TR65
TR66
TR67
TR68
TR69
TR70
TR71
TR72
TR73
TR74
TR75
TR76
TR77
TR78
TR79
TR80
TR81
TR82
TR83
TR84
TR85
TR86
TR87
TR88
TR89
TR90
TR91
TR92
TR93
TR94
TR95
TR96
TR97
TR98
TR99
Twisted Spoon
Tyranitarite
Ultra Ball
Ultranecrozium Z
Up-Grade
Utility Umbrella
Venusaurite
Wacan Berry
Water Gem
Water Memory
Water Stone
Waterium Z
Watmel Berry
Wave Incense
Weakness Policy
Wepear Berry
Whipped Dream
White Herb
Wide Lens
Wiki Berry
Wise Glasses
Yache Berry
Zap Plate
Zoom Lens
Berserk Gene
Berry
Bitter Berry
Burnt Berry
Gold Berry
Ice Berry
Mint Berry
Miracle Berry
Mystery Berry
Pink Bow
Polkadot Bow
PRZ Cure Berry
PSN Cure Berry
Crucibellite
